transaction_id,date,customer_id,segment,branch,product,transaction_type,category,amount,status
TXN000078,2024-05-29,CUS0172,Retail,Kuala Lumpur,Personal Loan,Withdrawal,Cash Withdrawal,3532.44,Completed
TXN000079,2024-08-29,CUS0070,Retail,Ipoh,Current Account,Payment,Merchant Payment,1841.14,Completed
TXN000080,2024-04-07,CUS0051,Wealth Management,Petaling Jaya,Personal Loan,Withdrawal,Cash Withdrawal,5119.15,Completed
TXN000081,2024-05-21,CUS0020,Retail,Petaling Jaya,Credit Card,Withdrawal,ATM Withdrawal,399.12,Completed
TXN000082,2024-01-02,CUS0109,Retail,Ipoh,Fixed Deposit,Loan Repayment,Car Loan,790.89,Completed
TXN000083,2024-12-03,CUS0092,Retail,Kuala Lumpur,Credit Card,Loan Repayment,Personal Loan,577.22,Completed
TXN000084,2024-09-04,CUS0057,Retail,Johor Bahru,Fixed Deposit,Payment,E-wallet Top Up,900.11,Completed
TXN000085,2024-08-21,CUS0060,SME,Ipoh,Fixed Deposit,Loan Repayment,Car Loan,615.56,Completed
TXN000086,2024-04-29,CUS0028,Wealth Management,Ipoh,Credit Card,Withdrawal,Cash Withdrawal,5664.8,Completed
TXN000087,2024-07-14,CUS0068,Retail,Kuala Lumpur,Credit Card,Payment,E-wallet Top Up,5676.77,Failed
TXN000088,2024-01-19,CUS0148,Retail,Ipoh,Current Account,Withdrawal,Cash Withdrawal,11276.98,Completed
TXN000089,2024-02-21,CUS0035,SME,Petaling Jaya,Credit Card,Loan Repayment,Car Loan,6197.14,Completed
TXN000090,2024-03-14,CUS0105,SME,Johor Bahru,Credit Card,Payment,Bill Payment,1119.25,Completed
TXN000091,2024-08-28,CUS0142,SME,Petaling Jaya,Fixed Deposit,Withdrawal,ATM Withdrawal,575.75,Completed
TXN000092,2024-02-11,CUS0116,Wealth Management,Kuala Lumpur,Fixed Deposit,Payment,E-wallet Top Up,5962.86,Completed
TXN000093,2024-06-11,CUS0162,Wealth Management,Ipoh,Credit Card,Loan Repayment,Car Loan,342.84,Completed
TXN000094,2024-02-05,CUS0005,Wealth Management,Johor Bahru,Current Account,Deposit,Online Transfer In,2506.86,Completed
TXN000095,2024-02-16,CUS0018,Wealth Management,Petaling Jaya,Credit Card,Transfer,IBG Transfer,11314.35,Failed
TXN000096,2024-03-26,CUS0011,SME,Penang,Fixed Deposit,Deposit,Cash Deposit,14233.67,Pending
TXN000097,2024-01-29,CUS0184,SME,Ipoh,Fixed Deposit,Deposit,Cash Deposit,2577.69,Completed
TXN000098,2024-05-05,CUS0027,SME,Johor Bahru,Personal Loan,Payment,Bill Payment,72.65,Completed
TXN000099,2024-03-30,CUS0118,Wealth Management,Ipoh,Savings Account,Withdrawal,ATM Withdrawal,4970.41,Completed
TXN000100,2024-12-15,CUS0045,Wealth Management,Kuala Lumpur,Current Account,Payment,E-wallet Top Up,31374.62,Completed
TXN000101,2024-04-28,CUS0165,SME,Ipoh,Credit Card,Loan Repayment,Home Loan,3192.26,Completed
TXN000102,2024-12-07,CUS0168,SME,Petaling Jaya,Savings Account,Payment,Merchant Payment,335.11,Completed
TXN000103,2024-12-12,CUS0186,SME,Petaling Jaya,Personal Loan,Payment,Merchant Payment,2645.73,Completed
TXN000104,2024-10-27,CUS0070,Retail,Ipoh,Fixed Deposit,Payment,Merchant Payment,1541.75,Completed
TXN000105,2024-05-08,CUS0096,Retail,Ipoh,Credit Card,Payment,E-wallet Top Up,951.84,Completed
TXN000106,2024-09-04,CUS0179,Wealth Management,Ipoh,Savings Account,Withdrawal,Cash Withdrawal,8856.01,Completed
TXN000107,2024-10-21,CUS0123,Retail,Johor Bahru,Fixed Deposit,Loan Repayment,Car Loan,11356.27,Failed
TXN000108,2024-12-03,CUS0069,Retail,Kuala Lumpur,Credit Card,Transfer,IBG Transfer,2961.52,Completed
TXN000109,2024-01-26,CUS0026,Wealth Management,Petaling Jaya,Personal Loan,Loan Repayment,Personal Loan,1849.35,Completed
TXN000110,2024-11-06,CUS0076,SME,Johor Bahru,Fixed Deposit,Transfer,IBG Transfer,21244.19,Completed
TXN000111,2024-12-13,CUS0199,Retail,Penang,Current Account,Withdrawal,Cash Withdrawal,1227.97,Completed
TXN000112,2024-08-13,CUS0185,Retail,Johor Bahru,Savings Account,Deposit,Cash Deposit,2283.54,Completed
TXN000113,2024-05-31,CUS0029,Wealth Management,Penang,Fixed Deposit,Withdrawal,ATM Withdrawal,754.98,Completed
TXN000114,2024-03-08,CUS0008,Wealth Management,Petaling Jaya,Personal Loan,Withdrawal,ATM Withdrawal,4378.64,Completed
TXN000115,2024-09-13,CUS0061,Retail,Ipoh,Fixed Deposit,Transfer,Interbank Transfer,1673.88,Completed
TXN000116,2024-05-31,CUS0006,Retail,Kuala Lumpur,Fixed Deposit,Transfer,DuitNow Transfer,2174.92,Completed
TXN000117,2024-03-13,CUS0069,Retail,Kuala Lumpur,Current Account,Payment,Bill Payment,16923.04,Completed
TXN000118,2024-07-06,CUS0111,SME,Kuala Lumpur,Savings Account,Payment,E-wallet Top Up,2477.2,Completed
TXN000119,2024-10-01,CUS0009,Retail,Johor Bahru,Savings Account,Deposit,Cash Deposit,233.61,Completed
TXN000120,2024-07-14,CUS0072,Wealth Management,Petaling Jaya,Fixed Deposit,Transfer,Interbank Transfer,9664.45,Completed
TXN000121,2024-01-13,CUS0045,Wealth Management,Kuala Lumpur,Personal Loan,Withdrawal,Cash Withdrawal,7451.14,Completed
TXN000122,2024-11-08,CUS0144,SME,Penang,Current Account,Loan Repayment,Car Loan,18428.76,Completed
TXN000123,2024-06-03,CUS0197,SME,Johor Bahru,Credit Card,Payment,E-wallet Top Up,2529.61,Completed
TXN000124,2024-06-04,CUS0044,Wealth Management,Penang,Credit Card,Deposit,Salary Credit,4325.54,Completed
TXN000125,2024-07-17,CUS0147,Retail,Kuala Lumpur,Credit Card,Withdrawal,ATM Withdrawal,450.59,Completed
TXN000126,2024-10-27,CUS0141,Retail,Johor Bahru,Current Account,Loan Repayment,Car Loan,713.37,Completed
TXN000127,2024-11-11,CUS0099,Retail,Ipoh,Credit Card,Deposit,Cash Deposit,8138.33,Pending
TXN000128,2024-12-19,CUS0069,Retail,Kuala Lumpur,Fixed Deposit,Transfer,IBG Transfer,1527.21,Completed
TXN000129,2024-07-04,CUS0127,Wealth Management,Kuala Lumpur,Savings Account,Payment,Bill Payment,1787.56,Failed
TXN000130,2024-11-26,CUS0089,SME,Penang,Fixed Deposit,Transfer,Interbank Transfer,5362.36,Completed
TXN000131,2024-03-03,CUS0005,Wealth Management,Johor Bahru,Credit Card,Transfer,IBG Transfer,3700.88,Completed
TXN000132,2024-01-26,CUS0115,Wealth Management,Ipoh,Fixed Deposit,Withdrawal,ATM Withdrawal,16235.85,Completed
TXN000133,2024-02-05,CUS0157,Wealth Management,Kuala Lumpur,Personal Loan,Withdrawal,ATM Withdrawal,8676.54,Completed
TXN000134,2024-06-17,CUS0045,Wealth Management,Kuala Lumpur,Current Account,Withdrawal,ATM Withdrawal,38308.78,Completed
TXN000135,2024-05-21,CUS0093,Wealth Management,Penang,Current Account,Loan Repayment,Home Loan,3815.06,Failed
TXN000136,2024-03-30,CUS0028,Wealth Management,Ipoh,Savings Account,Loan Repayment,Car Loan,21929.44,Completed
TXN000137,2024-01-08,CUS0153,SME,Kuala Lumpur,Fixed Deposit,Deposit,Salary Credit,3745.8,Completed
TXN000138,2024-01-09,CUS0160,Wealth Management,Petaling Jaya,Current Account,Withdrawal,Cash Withdrawal,6413.55,Completed
TXN000139,2024-09-26,CUS0153,SME,Kuala Lumpur,Savings Account,Withdrawal,Cash Withdrawal,1390.41,Completed
TXN000140,2024-07-04,CUS0186,SME,Petaling Jaya,Personal Loan,Payment,Merchant Payment,1582.35,Completed
TXN000141,2024-04-23,CUS0200,SME,Johor Bahru,Personal Loan,Payment,E-wallet Top Up,7422.17,Completed
TXN000142,2024-08-22,CUS0138,Wealth Management,Petaling Jaya,Savings Account,Loan Repayment,Car Loan,3500.04,Completed
TXN000143,2024-08-06,CUS0006,Retail,Kuala Lumpur,Savings Account,Payment,Merchant Payment,890.83,Completed
TXN000144,2024-02-11,CUS0020,Retail,Petaling Jaya,Fixed Deposit,Payment,Bill Payment,23.31,Completed
TXN000145,2024-05-20,CUS0011,SME,Penang,Personal Loan,Deposit,Salary Credit,651.0,Completed
TXN000146,2024-06-15,CUS0197,SME,Johor Bahru,Credit Card,Loan Repayment,Personal Loan,655.27,Failed
TXN000147,2024-08-20,CUS0185,Retail,Johor Bahru,Personal Loan,Loan Repayment,Car Loan,1123.3,Completed
TXN000148,2024-02-28,CUS0038,Wealth Management,Johor Bahru,Personal Loan,Deposit,Online Transfer In,28940.08,Completed
TXN000149,2024-08-19,CUS0138,Wealth Management,Petaling Jaya,Current Account,Withdrawal,Cash Withdrawal,43256.54,Completed
TXN000150,2024-07-31,CUS0133,Wealth Management,Kuala Lumpur,Savings Account,Payment,Merchant Payment,1644.53,Completed
TXN000151,2024-05-10,CUS0148,Retail,Ipoh,Fixed Deposit,Transfer,Interbank Transfer,2168.97,Pending
TXN000152,2024-02-16,CUS0155,SME,Johor Bahru,Savings Account,Payment,Bill Payment,5015.28,Completed
TXN000153,2024-07-09,CUS0095,Wealth Management,Ipoh,Current Account,Deposit,Online Transfer In,1105.11,Completed
TXN000154,2024-10-14,CUS0076,SME,Johor Bahru,Fixed Deposit,Loan Repayment,Personal Loan,961.7,Completed
TXN000155,2024-12-06,CUS0007,Retail,Ipoh,Credit Card,Payment,Merchant Payment,138.06,Completed
TXN000156,2024-11-03,CUS0088,Retail,Johor Bahru,Fixed Deposit,Deposit,Cash Deposit,97.75,Completed
TXN000157,2024-04-18,CUS0154,Retail,Ipoh,Current Account,Loan Repayment,Personal Loan,835.03,Completed
TXN000158,2024-06-28,CUS0135,Retail,Petaling Jaya,Personal Loan,Withdrawal,ATM Withdrawal,2508.02,Completed
TXN000159,2024-04-25,CUS0120,Wealth Management,Penang,Credit Card,Transfer,Interbank Transfer,23711.59,Completed
TXN000160,2024-12-11,CUS0055,SME,Penang,Personal Loan,Loan Repayment,Personal Loan,215929.36,Completed
TXN000161,2024-04-02,CUS0119,SME,Penang,Fixed Deposit,Transfer,IBG Transfer,5092.36,Completed
TXN000162,2024-06-28,CUS0101,Wealth Management,Kuala Lumpur,Savings Account,Transfer,DuitNow Transfer,3882.69,Completed
TXN000163,2024-02-05,CUS0180,Retail,Ipoh,Current Account,Withdrawal,Cash Withdrawal,10327.2,Completed
TXN000164,2024-09-28,CUS0085,Retail,Petaling Jaya,Current Account,Deposit,Salary Credit,912.82,Completed
TXN000165,2024-03-21,CUS0029,Wealth Management,Penang,Fixed Deposit,Payment,Merchant Payment,13158.22,Completed
TXN000166,2024-11-01,CUS0136,SME,Kuala Lumpur,Savings Account,Transfer,Interbank Transfer,2149.1,Completed
TXN000167,2024-11-12,CUS0195,SME,Ipoh,Savings Account,Withdrawal,ATM Withdrawal,962.06,Completed
TXN000168,2024-12-04,CUS0116,Wealth Management,Kuala Lumpur,Credit Card,Transfer,DuitNow Transfer,1808.35,Completed
TXN000169,2024-05-19,CUS0100,Wealth Management,Ipoh,Current Account,Payment,Merchant Payment,9439.35,Completed
TXN000170,2024-08-08,CUS0099,Retail,Ipoh,Savings Account,Deposit,Cash Deposit,1437.04,Completed
TXN000171,2024-09-26,CUS0096,Retail,Ipoh,Fixed Deposit,Loan Repayment,Car Loan,855.59,Completed
TXN000172,2024-01-29,CUS0029,Wealth Management,Penang,Savings Account,Payment,E-wallet Top Up,7498.97,Completed
TXN000173,2024-05-10,CUS0049,Wealth Management,Petaling Jaya,Fixed Deposit,Withdrawal,ATM Withdrawal,433.57,Completed
TXN000174,2024-08-08,CUS0094,Retail,Ipoh,Current Account,Deposit,Cash Deposit,595.76,Completed
TXN000175,2024-04-27,CUS0153,SME,Kuala Lumpur,Personal Loan,Loan Repayment,Personal Loan,3891.1,Completed
TXN000176,2024-07-22,CUS0010,Retail,Petaling Jaya,Savings Account,Transfer,IBG Transfer,7271.5,Completed
TXN000177,2024-06-09,CUS0170,Retail,Petaling Jaya,Personal Loan,Payment,Bill Payment,441.23,Completed
TXN000178,2024-11-23,CUS0148,Retail,Ipoh,Credit Card,Payment,E-wallet Top Up,142.52,Completed
TXN000179,2024-06-15,CUS0052,SME,Petaling Jaya,Current Account,Payment,Bill Payment,14002.38,Completed
TXN000180,2024-12-19,CUS0101,Wealth Management,Kuala Lumpur,Fixed Deposit,Loan Repayment,Car Loan,661.2,Completed
TXN000181,2024-08-11,CUS0067,Wealth Management,Petaling Jaya,Personal Loan,Deposit,Salary Credit,6735.49,Completed
TXN000182,2024-06-07,CUS0109,Retail,Ipoh,Fixed Deposit,Deposit,Cash Deposit,10580.66,Completed
TXN000183,2024-09-18,CUS0008,Wealth Management,Petaling Jaya,Savings Account,Withdrawal,ATM Withdrawal,110.9,Completed
TXN000184,2024-06-28,CUS0164,SME,Penang,Current Account,Withdrawal,Cash Withdrawal,343.64,Completed
TXN000185,2024-04-11,CUS0046,Wealth Management,Penang,Current Account,Withdrawal,Cash Withdrawal,349.18,Completed
TXN000186,2024-11-17,CUS0016,SME,Kuala Lumpur,Credit Card,Deposit,Salary Credit,142.77,Completed
TXN000187,2024-08-17,CUS0174,SME,Johor Bahru,Personal Loan,Loan Repayment,Personal Loan,617.56,Completed
TXN000188,2024-11-17,CUS0099,Retail,Ipoh,Fixed Deposit,Loan Repayment,Car Loan,3186.24,Completed
TXN000189,2024-08-14,CUS0022,Wealth Management,Penang,Fixed Deposit,Deposit,Cash Deposit,1602.88,Completed
TXN000190,2024-06-29,CUS0177,Wealth Management,Kuala Lumpur,Personal Loan,Loan Repayment,Home Loan,2464.8,Completed
TXN000191,2024-01-20,CUS0100,Wealth Management,Ipoh,Savings Account,Payment,Merchant Payment,2458.4,Completed
TXN000192,2024-11-26,CUS0106,Wealth Management,Penang,Savings Account,Transfer,IBG Transfer,13421.52,Completed
TXN000193,2024-08-24,CUS0106,Wealth Management,Penang,Personal Loan,Loan Repayment,Car Loan,26012.79,Completed
TXN000194,2024-10-19,CUS0025,Wealth Management,Petaling Jaya,Current Account,Deposit,Cash Deposit,4388.72,Completed
TXN000195,2024-03-18,CUS0029,Wealth Management,Penang,Savings Account,Payment,E-wallet Top Up,48676.43,Completed
TXN000196,2024-02-13,CUS0086,SME,Johor Bahru,Personal Loan,Transfer,Interbank Transfer,765.98,Completed
TXN000197,2024-12-28,CUS0109,Retail,Ipoh,Credit Card,Deposit,Salary Credit,2235.43,Failed
TXN000198,2024-11-08,CUS0123,Retail,Johor Bahru,Current Account,Loan Repayment,Personal Loan,464.15,Completed
TXN000199,2024-07-28,CUS0143,Retail,Petaling Jaya,Fixed Deposit,Transfer,DuitNow Transfer,3108.28,Completed
TXN000200,2024-11-27,CUS0149,Retail,Kuala Lumpur,Fixed Deposit,Deposit,Online Transfer In,359.18,Completed
TXN000201,2024-12-13,CUS0184,SME,Ipoh,Credit Card,Deposit,Online Transfer In,6279.45,Completed
TXN000202,2024-06-19,CUS0087,Retail,Johor Bahru,Savings Account,Loan Repayment,Home Loan,128.36,Completed
TXN000203,2024-06-07,CUS0176,SME,Petaling Jaya,Credit Card,Withdrawal,Cash Withdrawal,848.65,Completed
TXN000204,2024-10-13,CUS0082,SME,Johor Bahru,Credit Card,Deposit,Cash Deposit,9032.16,Completed
TXN000205,2024-12-09,CUS0020,Retail,Petaling Jaya,Personal Loan,Transfer,IBG Transfer,1516.56,Completed
TXN000206,2024-07-04,CUS0195,SME,Ipoh,Savings Account,Payment,E-wallet Top Up,45.55,Completed
TXN000207,2024-06-23,CUS0185,Retail,Johor Bahru,Credit Card,Withdrawal,ATM Withdrawal,698.52,Completed
TXN000208,2024-02-09,CUS0100,Wealth Management,Ipoh,Fixed Deposit,Withdrawal,ATM Withdrawal,3163.02,Completed
TXN000209,2024-10-03,CUS0022,Wealth Management,Penang,Personal Loan,Deposit,Online Transfer In,6504.67,Completed
TXN000210,2024-03-08,CUS0164,SME,Penang,Personal Loan,Transfer,Interbank Transfer,1630.0,Completed
TXN000211,2024-12-20,CUS0146,SME,Ipoh,Personal Loan,Withdrawal,ATM Withdrawal,855.08,Completed
TXN000212,2024-01-23,CUS0044,Wealth Management,Penang,Credit Card,Withdrawal,Cash Withdrawal,13340.49,Completed
TXN000213,2024-11-08,CUS0098,Wealth Management,Petaling Jaya,Fixed Deposit,Withdrawal,Cash Withdrawal,632.34,Completed
TXN000214,2024-09-30,CUS0147,Retail,Kuala Lumpur,Current Account,Payment,Bill Payment,1929.55,Completed
TXN000215,2024-07-07,CUS0132,SME,Petaling Jaya,Personal Loan,Payment,Bill Payment,279.66,Failed
TXN000216,2024-07-14,CUS0089,SME,Penang,Personal Loan,Payment,Merchant Payment,5900.6,Completed
TXN000217,2024-11-05,CUS0104,Wealth Management,Penang,Current Account,Withdrawal,ATM Withdrawal,16868.44,Completed
TXN000218,2024-09-03,CUS0168,SME,Petaling Jaya,Fixed Deposit,Deposit,Online Transfer In,3458.36,Completed
TXN000219,2024-09-21,CUS0179,Wealth Management,Ipoh,Savings Account,Deposit,Online Transfer In,6685.95,Completed
TXN000220,2024-08-18,CUS0035,SME,Petaling Jaya,Personal Loan,Withdrawal,Cash Withdrawal,2550.81,Completed
TXN000221,2024-04-23,CUS0060,SME,Ipoh,Credit Card,Payment,Bill Payment,16056.03,Completed
TXN000222,2024-01-28,CUS0053,Retail,Ipoh,Credit Card,Deposit,Cash Deposit,977.37,Completed
TXN000223,2024-02-11,CUS0165,SME,Ipoh,Fixed Deposit,Withdrawal,Cash Withdrawal,4775.95,Completed
TXN000224,2024-12-31,CUS0145,SME,Penang,Fixed Deposit,Transfer,IBG Transfer,2964.49,Completed
TXN000225,2024-05-26,CUS0044,Wealth Management,Penang,Credit Card,Withdrawal,ATM Withdrawal,32310.67,Completed
TXN000226,2024-08-17,CUS0092,Retail,Kuala Lumpur,Personal Loan,Withdrawal,Cash Withdrawal,2727.03,Completed
TXN000227,2024-05-11,CUS0017,Wealth Management,Ipoh,Current Account,Deposit,Salary Credit,18398.43,Completed
TXN000228,2024-11-07,CUS0144,SME,Penang,Personal Loan,Loan Repayment,Personal Loan,8017.41,Completed
TXN000229,2024-06-03,CUS0194,Retail,Johor Bahru,Savings Account,Transfer,IBG Transfer,2754.95,Completed
TXN000230,2024-11-14,CUS0019,Retail,Petaling Jaya,Credit Card,Payment,E-wallet Top Up,1103.61,Completed
TXN000231,2024-10-01,CUS0112,SME,Penang,Savings Account,Payment,E-wallet Top Up,189.32,Completed
